gene	expr	reptime	hic
A1BG	14.29861364	0.27	-25
A1CF	11.63628404	0.56	19
A2M	12.76107495	0.3	17
A2ML1	12.61238406	0.41	12
A3GALT2	13.14729814	0.41	37.25
A4GALT	13.60236437	0.19	72
A4GNT	12.15507404	0.46	9
AAAS	14.34720295	0.17	58
AACS	13.70421021	0.27	13
AADAC	12.20841989	0.53	2
AADACL2	11.41892243	0.57	-5
AADACL3	11.88740889	0.29	23
AADACL4	11.88740889	0.23	23
AADAT	11.79744253	0.75	-13
AAED1	12.68304258	0.35	26
AAGAB	12.65088346	0.32	45
AAK1	13.36838873	0.3	35
AAMDC	13.26686364	0.36	35
AAMP	13.5016953	0.3	33
AANAT	13.99968124	0.18	29
AAR2	14.06086716	0.24	44
AARD	13.11265844	0.35	16
AARS	14.10516668	0.14	42
AARS2	13.85208932	0.22	54
AARSD1	14.22567395	0.18	26
AASDH	13.36851226	0.59	5
AASDHPPT	11.36811932	0.69	-16
AASS	10.96223225	0.87	-13
AATF	13.41273633	0.42	16
AATK	14.36821624	0.22	22
ABAT	12.90614082	0.45	-10
ABCA1	12.18132903	0.67	-18
ABCA10	11.82973421	0.45	-43
ABCA12	13.17450791	0.79	9
ABCA13	11.44357539	0.73	-11
ABCA2	14.4843338	0.18	40
ABCA3	14.61322764	0.19	46
ABCA4	13.14702087	0.35	-2
ABCA5	10.87085155	0.42	-50
ABCA6	12.38852336	0.55	-39
ABCA7	14.6859454	0.21	26
ABCA8	12.59760109	0.59	-41
ABCA9	12.47999676	0.62	-42
ABCB1	12.56825788	0.7	13.37
ABCB10	12.4522528	0.25	20
ABCB11	12.31753352	0.63	1
ABCB4	12.3252547	0.74	8
ABCB5	12.00895009	0.66	4
ABCB6	13.55833441	0.18	36
ABCB8	13.34085292	0.37	41
ABCB9	13.90454015	0.16	47
ABCC1	12.9223649	0.2	33
ABCC10	14.0547361	0.27	49
ABCC11	12.28552595	0.58	-22
ABCC12	12.34439442	0.63	-27
ABCC2	13.85002309	0.16	30
ABCC3	14.2764747	0.2	18
ABCC4	12.20795587	0.48	30
ABCC5	14.17012508	0.39	43
ABCC6	12.86313399	0.26	23
ABCC8	13.02695979	0.55	14
ABCC9	13.18046435	0.8	-17
ABCD2	11.15786351	0.58	-16
ABCD3	13.03859909	0.3	-8
ABCD4	13.38784125	0.35	47
ABCE1	12.15113588	0.8	32
ABCF1	14.54815822	0.35	32
ABCF2	13.32138799	0.31	32
ABCF3	14.19407575	0.26	49
ABCG1	12.57573439	0.46	75
ABCG2	12.97751331	0.29	-7
ABCG4	14.04511559	0.18	57
ABCG5	13.20843281	0.39	35
ABCG8	13.12548051	0.43	30
ABHD1	14.00951115	0.24	50
ABHD10	12.38440291	0.25	10
ABHD11	13.89437996	0.21	54
ABHD12	13.31891159	0.33	-3
ABHD12B	12.92638742	0.37	41
ABHD13	11.18106856	0.82	-32
ABHD14A	13.86013874	0.22	36
ABHD14A-ACY1	12.59765944	0.22	17.25
ABHD14B	13.86013874	0.22	36
ABHD15	13.59558183	0.22	23
ABHD16A	14.73867203	0.19	20
ABHD16B	13.93217386	0.21	44
ABHD17A	14.6161637	0.21	26
ABHD17B	12.55699357	0.36	4
ABHD17C	12.72121992	0.31	7
ABHD2	13.36805402	0.43	22
ABHD3	12.50516191	0.16	57
ABHD4	13.79051475	0.34	49
ABHD5	11.54791609	0.38	33
ABHD6	13.32317297	0.19	43
ABHD8	13.6436398	0.2	43
ABI1	12.7443247	0.49	30
ABI2	12.93614946	0.29	23
ABI3	13.61241715	0.32	24
ABI3BP	13.03717579	0.5	-1
ABL1	13.13331519	0.23	29
ABL2	12.7021947	0.28	6
ABLIM1	12.4985818	0.23	13
ABLIM2	12.05857561	0.23	36
ABLIM3	12.73637437	0.44	17
ABO	14.43900376	0.4	45
ABR	14.11318108	0.27	22
ABRA	11.64008661	0.66	18
ABRACL	12.57591748	0.61	16
ABT1	12.92875921	0.38	24
ABTB1	13.42890351	0.27	45
ABTB2	13.55379898	0.34	32
AC002472.13	12.39832656	0.19	6.85
AC003101.1	12.83793815	0.31	20.09
AC004076.9	13.11870937	0.7	23.4
AC004381.6	13.10952936	0.61	25.26
AC004899.1	13.1115863	0.84	33.37
AC005003.1	13.37191447	0.22	23.77
AC005008.2	12.8660353	0.5	13.75
AC005481.5	13.28555727	0.47	10.79
AC006126.3	13.44189781	0.24	21.69
AC006132.1	12.79538473	0.19	14.14
AC006435.1	12.95426962	0.27	27.99
AC006946.15	13.03569772	0.57	24.73
AC007040.11	13.19350091	0.59	32.76
AC007390.5	13.20113526	0.25	24.78
AC007401.2	12.95915917	0.41	26.83
AC007405.2	13.28024905	0.69	30.14
AC007431.1	13.32376168	0.34	32.3
AC007557.1	13.06882986	0.62	20.77
AC007952.5	13.24760856	0.2	25.75
AC008060.7	12.51614696	0.56	21.66
AC008132.1	12.9372883	0.29	25.09
AC008132.13	13.3594906	0.55	25.17
AC008394.1	13.15949674	0.66	31.15
AC009365.3	13.18692465	0.63	28.24
AC009403.2	12.96480533	0.59	25.57
AC009892.10	12.77570486	0.6	10.06
AC011294.3	12.77355891	0.59	31
AC011366.3	12.90544612	0.85	25.64
AC011997.1	13.07299828	0.54	22.32
AC012123.1	13.22994424	0.81	25.93
AC013269.5	13.50974572	0.51	29.79
AC013449.1	13.25831388	0.17	13.52
AC016722.1	12.38950802	0.22	16.94
AC016757.3	12.88004133	0.25	24.31
AC018755.1	12.65781312	0.63	11.76
AC018816.3	12.83177029	0.32	24.09
AC019294.1	13.65269439	0.23	39.24
AC020907.1	12.93862598	0.36	22.79
AC021218.2	13.1610448	0.62	29.46
AC021860.1	13.91272065	0.41	43.99
AC022431.2	13.26193711	0.45	31.9
AC023469.1	12.9470244	0.69	25.8
AC023590.1	12.90544612	0.5	25.64
AC027763.2	13.12071964	0.38	26.35
AC037459.4	12.84091036	0.16	17.49
AC062017.1	12.88516455	0.5	19.33
AC074091.13	13.05939415	0.2	28.45
AC074212.3	12.71932708	0.19	4.47
AC074389.6	13.05939415	0.27	28.45
AC079354.1	12.83757875	0.5	7.928
AC079612.1	13.32619163	0.42	22.38
AC084121.16	13.34572715	0.63	27.28
AC090616.2	13.38076252	0.36	28.79
AC091801.1	13.4357819	0.65	29.36
AC092675.3	13.10721632	0.67	28.92
AC092687.4	13.16563447	0.43	19.225
AC092850.1	12.93248646	0.45	27.35
AC093802.1	13.14439351	0.46	33.22
AC097381.1	12.96799195	0.25	27.31
AC099552.4	12.69679783	0.56	12.89
AC102948.2	12.35755436	0.82	-0.64
AC104057.1	12.78675971	0.76	20.37
AC106017.1	12.9430851	0.19	20.87
AC106876.2	13.20935876	0.22	13.53
AC110619.2	13.22247333	0.38	34.19
AC112715.2	12.84373578	0.39	11.92
AC112721.1	12.51614696	0.4	21.66
AC114783.1	14.06226167	0.6	46.48
AC129492.6	12.83300412	0.27	28.28
AC131097.4	13.07601682	0.49	19.34
AC138647.1	13.06886695	0.38	25.8
AC138969.4	13.19718623	0.27	34.49
AC139100.2	12.79921512	0.51	18.87
AC140481.2	12.97832152	0.26	19.01
ACAA1	12.61863584	0.38	32
ACAA2	12.57967206	0.44	35
ACACA	13.17334352	0.29	13
ACACB	13.17841852	0.49	29
ACAD10	13.30328562	0.2	33
ACAD11	12.25855598	0.6	19
ACAD8	12.50747269	0.6	21
ACAD9	13.92690792	0.38	54
ACADL	12.15608902	0.68	2
ACADM	11.93645313	0.58	-13
ACADS	14.3701787	0.33	42
ACADSB	12.45297179	0.65	17
ACADVL	14.39378434	0.32	21
ACAN	13.23854335	0.61	-1
ACAP1	14.46352176	0.18	36
ACAP2	12.97542364	0.5	43
ACAP3	14.37169934	0.2	28
ACAT1	12.94300702	0.57	19
ACAT2	13.38194994	0.6	22
ACBD3	13.53632562	0.19	24
ACBD4	13.60084472	0.17	32
ACBD5	12.85702189	0.55	36
ACBD6	13.20506347	0.35	12
ACBD7	12.44862659	0.57	21
ACCS	12.75363609	0.65	3
ACCSL	12.87288612	0.64	1
ACD	13.87922217	0.14	41
ACE	13.68149219	0.25	-20
ACER1	13.75782742	0.41	31
ACER2	13.11612194	0.34	24
ACER3	12.54157656	0.26	36
ACHE	14.10758821	0.34	48
ACIN1	14.04757976	0.18	41
ACKR2	12.72301651	0.35	26
ACKR3	11.71084146	0.6	10
ACKR4	12.25912988	0.6	21
ACLY	14.434924	0.17	33
ACMSD	12.5261251	0.52	15
ACO1	12.57958947	0.42	-18
ACO2	14.20359889	0.17	69
ACOT1	13.52122645	0.15	14.23
ACOT11	13.44156447	0.36	18
ACOT12	11.65230473	0.7	16
ACOT13	12.95090105	0.37	24
ACOT2	13.31513019	0.15	39
ACOT4	13.31513019	0.15	39
ACOT6	13.31513019	0.17	39
ACOT7	13.37481716	0.21	26
ACOT8	13.5180744	0.18	48
ACOX1	14.32712987	0.17	22
ACOX2	13.21955724	0.26	33
ACOX3	11.83865449	0.29	47
ACOXL	12.77676308	0.39	21.19
ACP1	12.62729627	0.62	-18
ACP2	14.0577145	0.18	38
ACP5	13.95734079	0.27	31
ACP6	13.22717767	0.57	28.01
ACPP	12.25559587	0.71	13
ACR	13.41493448	0.2	41
ACRBP	14.85117701	0.18	61
ACRV1	13.24377006	0.6	13
ACSBG1	12.95123573	0.29	52
ACSBG2	14.1022672	0.37	40
ACSF2	14.10283757	0.17	23
ACSF3	14.06048135	0.28	40
ACSL1	12.64983817	0.49	30
ACSL3	12.47420868	0.18	14
ACSL5	12.12675884	0.37	-4
ACSL6	12.7112956	0.51	25
ACSM1	12.07817677	0.68	11
ACSM2A	12.10891726	0.76	6
ACSM2B	12.0222099	0.69	-6
ACSM3	12.26285932	0.64	23
ACSM4	13.96202357	0.35	27
ACSM5	12.10891726	0.77	6
ACSS1	13.25714948	0.61	-18
ACSS2	13.8201448	0.19	44
ACSS3	10.17393445	0.85	-20
ACTA1	12.402482	0.36	29
ACTA2	12.10849289	0.27	30
ACTB	14.46091026	0.2	34
ACTBL2	11.98327279	0.43	3
ACTC1	13.16391598	0.23	-1
ACTG1	15.0914743	0.27	26
ACTG2	13.8512068	0.28	45
ACTL10	13.76209059	0.12	39.06
ACTL6A	12.89905231	0.48	11
ACTL6B	14.44913595	0.24	60
ACTL7A	12.72767202	0.47	9
ACTL7B	12.72767202	0.47	9
ACTL8	12.42906419	0.42	27
ACTL9	13.19267644	0.38	-47
ACTN1	13.3208158	0.3	44
ACTN2	12.96496075	0.63	-10
ACTN3	14.11115336	0.19	62
ACTN4	14.28341574	0.34	36
ACTR10	12.58153205	0.57	21
ACTR1A	13.67823043	0.17	41
ACTR1B	12.79980272	0.46	25
ACTR2	13.3149372	0.34	31
ACTR3	12.90664221	0.54	15
ACTR3B	12.15959406	0.49	5
ACTR3C	13.53799139	0.54	41.98
ACTR5	12.78984571	0.54	35
ACTR6	12.12629324	0.56	9
ACTR8	11.76530932	0.55	39
ACTRT2	12.63788428	0.63	19
ACTRT3	12.73795248	0.67	19.35
ACVR1	11.30356154	0.82	2
ACVR1B	13.10880183	0.3	27
ACVR1C	11.28363808	0.83	7
ACVR2A	11.41852687	0.83	-2
ACVR2B	12.72951929	0.51	28
ACVRL1	13.10880183	0.37	27
ACY3	14.15775468	0.39	60
ACYP1	13.73108819	0.22	47
ACYP2	13.33616422	0.43	11
ADA	13.59461573	0.17	42
ADAD1	12.33684649	0.62	-14
ADAD2	13.27496257	0.32	12
ADAL	13.62071877	0.42	50
ADAM10	13.13461798	0.36	31
ADAM11	14.01796802	0.18	31
ADAM12	12.27579925	0.45	-29
ADAM15	14.34420753	0.21	44
ADAM17	13.44719961	0.31	38
ADAM18	12.07622019	0.75	4
ADAM19	12.47576003	0.82	45
ADAM2	9.44888472	0.66	-2
ADAM20	12.71840513	0.69	26
ADAM21	12.95674553	0.59	22
ADAM22	12.0936987	0.61	17
ADAM23	12.5789698	0.65	16
ADAM28	10.92983376	0.52	5
ADAM29	10.81861761	0.78	-36
ADAM30	12.87414301	0.58	9
ADAM32	12.75854872	0.54	-5
ADAM33	13.756654	0.35	32
ADAM7	10.93403511	0.72	6
ADAM8	12.73457806	0.45	-12
ADAM9	12.8721492	0.31	22
ADAMDEC1	10.96023564	0.56	5
ADAMTS1	10.41532267	0.43	-72
ADAMTS10	13.34169808	0.21	-14
ADAMTS12	12.82956424	0.73	7
ADAMTS13	14.42705607	0.26	33
ADAMTS14	13.21093271	0.57	37
ADAMTS15	13.43923185	0.35	0
ADAMTS16	11.40070816	0.66	-23
ADAMTS17	11.87477997	0.67	-36
ADAMTS18	11.03442181	0.81	-26
ADAMTS19	10.54786457	0.85	-16
ADAMTS2	14.21850462	0.67	-4
ADAMTS20	11.74904052	0.83	-21
ADAMTS3	11.15717866	0.49	-15
ADAMTS4	13.49897486	0.23	37
ADAMTS5	10.40746981	0.43	-79
ADAMTS6	12.52555857	0.46	5
ADAMTS7	13.1365897	0.43	46
ADAMTS8	13.44918924	0.35	-6
ADAMTS9	11.41367955	0.74	-10
ADAMTSL1	12.6543833	0.47	-18
ADAMTSL2	14.44123132	0.32	35
ADAMTSL3	11.62990818	0.8	-7
ADAMTSL4	14.20460845	0.15	31
ADAMTSL5	14.56825784	0.22	35
ADAP1	13.51070539	0.29	41
ADAP2	13.29486185	0.21	20
ADAR	14.47174217	0.37	36
ADARB1	13.29882781	0.2	42
ADARB2	12.55701117	0.56	8
ADAT1	13.01554179	0.22	18
ADAT2	12.60956915	0.5	7
ADCK1	12.96671024	0.42	24
ADCK2	12.77901918	0.5	38
ADCK5	14.64170239	0.2	32
ADCY1	12.57047615	0.65	11
ADCY10	13.18929466	0.28	13
ADCY2	11.01716906	0.84	-22
ADCY4	13.71693144	0.17	39
ADCY5	12.82672171	0.43	42
ADCY6	14.35544012	0.27	38
ADCY7	12.62529601	0.42	21
ADCY8	12.55981279	0.65	37
ADCY9	13.51457572	0.15	19
ADCYAP1	12.51368234	0.36	-13
ADCYAP1R1	12.80550238	0.63	7
ADD1	13.41409673	0.25	45
ADD2	13.39946315	0.58	24
ADD3	12.76356618	0.41	3
ADGB	12.87893222	0.65	27.9
ADH1A	12.43055131	0.74	3
ADH1B	12.71525191	0.74	8
