"SID"	"window"	"n"	"N"	"gene"	"k"	"pValue"	"qValue"
"1:139816-139866"	51	3	51	"AL627309.1"	3	3.724e-05	0.03076
"1:946109-946161"	53	5	53	"ISG15"	5	6.779e-09	7.362e-06
"1:1183470-1183544"	75	3	75	"FAM132A"	2	0.004628	0.9025
"1:12908944-12909012"	69	6	69	"HNRNPCL1"	4	1.472e-06	0.00145
"1:12911050-12911116"	67	3	67	"HNRNPCL1"	3	0.0003098	0.184
"1:15940983-15941070"	88	3	76	"DDI2"	2	0.01382	1
"1:16009060-16009163"	104	4	104	"PLEKHM2"	4	3.447e-05	0.02871
"1:16940058-16940161"	104	3	104	"NBPF1"	3	0.0004154	0.2276
"1:17306739-17306791"	53	3	53	"MFAP2"	3	0.0001002	0.07264
"1:18805087-18805145"	59	3	59	"KLHDC7A"	3	7.959e-05	0.05937
"1:22301450-22301554"	105	3	105	"CELA3B"	2	0.001224	0.4651
"1:22301636-22301723"	88	6	88	"CELA3B"	6	3.342e-09	3.653e-06
"1:26123695-26123750"	56	6	56	"SEPN1"	5	1.966e-08	2.108e-05
"1:27021490-27021540"	51	4	51	"ARID1A"	4	6.381e-07	0.0006458
"1:27666991-27667073"	83	4	83	"SYTL1"	4	3.831e-06	0.003662
"1:32804184-32804234"	51	3	51	"MARCKSL1"	3	5.043e-05	0.04019
"1:34631173-34631225"	53	3	53	"C1orf94"	2	0.005389	0.9397
"1:36236011-36236063"	53	3	53	"CLSPN"	3	1.74e-05	0.01554
"1:36851522-36851599"	78	3	78	"STK40"	3	0.000456	0.243
"1:39339973-39340027"	55	3	55	"MYCBP"	3	0.0007166	0.3241
"1:40940628-40940679"	52	3	52	"ZFP69"	3	3.91e-05	0.0321
"1:47657084-47657134"	51	3	51	"PDZK1IP1"	3	3.452e-06	0.003314
"1:52606459-52606517"	59	6	59	"ZFYVE9"	6	1.081e-10	1.213e-07
"1:53191067-53191188"	122	3	122	"ZYG11B"	3	0.002284	0.6692
"1:64667925-64667975"	51	3	51	"UBE2U"	3	8.625e-05	0.06391
"1:66257559-66257653"	95	5	95	"PDE4B"	5	6.187e-06	0.005816
"1:66998301-66998399"	99	3	99	"SGIP1"	3	0.001354	0.4983
"1:68915845-68915921"	77	3	77	"RPE65"	3	0.0004249	0.2315
"1:79473456-79473586"	131	3	131	"ELTD1"	2	0.0331	1
"1:86046152-86046235"	84	3	84	"CYR61"	3	0.000996	0.4034
"1:103575271-103575367"	97	3	97	"COL11A1"	3	5.805e-05	0.04545
"1:103575526-103575618"	93	3	93	"COL11A1"	3	0.001627	0.5467
"1:103576773-103576864"	92	3	92	"COL11A1"	3	0.000343	0.1983
"1:110254488-110254563"	76	4	76	"GSTM5"	3	0.0005129	0.2606
"1:116386526-116386580"	55	3	42	"NHLH2"	3	2.011e-06	0.001955
"1:119531469-119531519"	51	4	51	"TBX15"	4	2.723e-07	0.0002794
"1:120254480-120254530"	51	7	30	"PHGDH"	6	1.449e-11	1.652e-08
"1:120612348-120612443"	96	5	96	"NOTCH2"	5	6.777e-07	0.0006845
"1:120615153-120615203"	51	3	51	"NOTCH2"	3	4.413e-05	0.03575
"1:143768179-143768244"	66	5	66	"PPIAL4G"	5	3.16e-09	3.46e-06
"1:145718088-145718160"	73	3	73	"CD160"	2	0.06285	1
"1:148204202-148204284"	83	9	83	"PPIAL4D"	9	1.095e-17	1.286e-14
"1:148559472-148559635"	164	6	164	"NBPF15"	6	2.572e-08	2.739e-05
"1:148560057-148560129"	73	3	73	"NBPF15"	3	0.0001559	0.1065
"1:149751726-149751776"	51	3	51	"FCGR1A"	3	3.708e-05	0.0307
"1:149785504-149785554"	51	5	51	"HIST2H2BF"	5	6.851e-10	7.577e-07
"1:151163458-151163509"	52	6	52	"VPS72"	6	1.261e-10	1.414e-07
"1:151371698-151371748"	51	3	51	"PSMB4"	3	7.828e-05	0.05848
"1:152646999-152647074"	76	3	76	"LCE2C"	3	0.0001841	0.1226
"1:153001951-153002043"	93	3	93	"SPRR1B"	2	0.01008	1
"1:153643780-153643836"	57	3	57	"ILF2"	3	0.0002064	0.1333
"1:153962449-153962506"	58	3	58	"RPS27"	2	0.003475	0.8298
"1:154581276-154581340"	65	5	65	"ADAR"	4	1.072e-06	0.001069
"1:156548024-156548100"	77	3	77	"TTC24"	3	8.235e-05	0.06127
