ATRX	X:76763767-77044701
TCOF1	5:149734201-149778712
NSRP1	17:28440833-28512775
SPPL3	12:121202721-121345154
RNU5B-1	15:65596267-65597187
OPA1	3:193307932-193410003
RP1-278O22.2	20:10735329-10735428
RNF219-AS1	13:78503726-79180694
ITGA8	10:15559105-15764769
ITGA9	3:37490812-37860534
RP11-146D12.2	9:42410362-42437018
ITGA1	5:52080773-52248297
ITGA2	5:52282155-52386513
ITGA3	17:48130339-48167746
ITGA4	2:182318932-182403913
ITGA5	12:54788082-54816049
ITGA6	2:173289313-173369034
ITGA7	12:56081698-56106817
TRHR	8:110096652-110131747
UFSP1	7:100483344-100487612
UFSP2	4:186321500-186350138
RP11-566K19.6	15:23104896-23105383
RP11-566K19.3	15:22777668-22784464
RP11-566K19.9	15:23571224-23579436
RP1-200K18.1	6:153132438-153132819
RP11-379H18.1	7:35737745-35737771
TEX28P2	X:153424800-153448105
TEX28P1	X:153461924-153485223
FAM212B	1:112269733-112291810
FAM212A	3:49841596-49842381
CHST9	18:24496133-24768280
CHST8	19:34109860-34267413
CHST1	11:45670486-45690171
CHST3	10:73721121-73768245
CHST2	3:142835617-142844571
CHST5	16:75563007-75569067
CHST4	16:71557153-71571782
CHST7	X:46430217-46437170
CHST6	16:75512464-75531925
ITGAX	16:31363453-31393265
SLC25A24P1	1:108870456-108870698
BCL2A1	15:80253226-80266642
ITGAV	2:187451790-187542078
AC004448.5	17:19349324-19350044
ITGAL	16:30480982-30532962
ITGAM	16:31268309-31343197
ITGAD	16:31401632-31439049
COPRS	17:30179107-30187920
IGF2R	6:160387130-160533202
CTD-2587H24.4	19:55663123-55673799
SLC36A4	11:92881644-92934094
SLC36A3	5:150656900-150686326
CKS1B	1:154944173-154952832
SLC36A1	5:150824162-150873757
ARTN	1:44399831-44399989
ART1	11:3666360-3682799
ART3	4:76947650-77028990
ART5	11:3659825-3666359
ART4	12:14982241-14999412
RFPL1	22:29831571-29838192
AC129492.6	17:7982804-7984573
CRTAM	11:122706254-122742189
CADPS2	7:121955479-122529812
RLF	1:40624043-40706201
USP17L30	4:9361853-9369446
CRTAP	3:33152469-33191177
ADPGK	15:73044624-73079125
RP4-697P8.3	20:10869383-10869646
CPEB4	5:173312330-173391776
CPEB1	15:83208951-83319727
CPEB3	10:93811921-94001472
CPEB2	4:15001297-15068038
SRBD1	2:45616350-45841419
ABAT	16:8765443-8875357
POU5F1B	8:128424856-128435270
AC006482.1	7:17721638-17722640
RP11-300J18.3	14:88494122-88531606
RP11-300J18.1	14:88483941-88484227
CDH22	20:44803212-44935953
PHOX2A	11:71950704-71958219
PHOX2B	4:41747765-41753986
UPK2	11:118799840-118829021
CFH	1:196618007-196716534
CFI	4:110661803-110726334
ANKFY1	17:4064614-4169551
CFB	6:31892473-31922824
TPT1-AS1	13:45928011-45965425
CFP	X:47480611-47492363
OPA3	19:46032214-46091099
AAAS	12:53708014-53718411
SIDT1	3:113248217-113346564
AP003900.6	21:11174515-11186828
SIDT2	11:117050138-117068157
RP11-2N1.2	18:57367612-57367643
RP11-702H23.4	11:74196654-74196771
SAGE1	X:134978326-134995121
RP11-89K11.1	15:102277339-102284811
AAGAB	15:67495083-67547136
AC093802.1	2:240684488-240702193
C4orf19	4:37477963-37592643
AL096700.1	X:18883926-18884573
C4orf17	4:100434246-100463341
CDH26	20:58530470-58608805
SCYL1	11:65289547-65302931
RP13-941N14.1	12:122028610-122028882
NBEAP1	15:20867203-20876656
RFPL4AL1	19:56283059-56284631
ETV3L	1:157062377-157072599
RP3-388M5.9	22:44211185-44211216
MSL3P1	2:234774811-234780054
AC068858.1	11:45000516-45000920
C15orf26	15:81426547-81440957
C15orf27	15:76349298-76496739
RNU6-163P	10:4556553-4557089
RP5-1077H22.2	6:909614-912045
ZNF117	7:64438428-64451413
ZNF114	19:48763024-48790209
SEZ6L	22:26562439-26776370
GPR15	3:98247877-98251989
AL031653.1	20:7676324-7676670
RP11-430L16.1	3:187841030-187841327
PRKAR2A	3:48788604-48888269
PRKAR2B	7:106682177-106800070
S1PR5	19:10624356-10631606
TMEM200B	1:29447592-29453420
ITGA2B	17:42449570-42469872
PHACTR4	1:28693112-28819705
PHACTR1	6:12714891-13287384
OR2K2	9:114089671-114093712
PHACTR3	20:58151403-58422301
NUP107	12:69077730-69139310
KRTAP2-3	17:39212493-39219343
KRTAP2-2	17:39210464-39212492
KRTAP2-1	17:39202569-39206567
KRTAP2-4	17:39221132-39225130
MIR4708	14:65801625-65801797
MIR4704	13:66792281-66792602
RP3-523C21.2	6:132406912-132407088
ZNF471	19:57016211-57037411
VMP1	17:57781862-57918759
NR1D1	17:38249238-38259972
NR1D2	3:23983750-24018986
AC105402.4	2:149629731-149629816
MLANA	9:5887908-5895406
RP11-380D23.2	4:111530174-111535576
OGFR	20:61434945-61445392
PTCH2	1:45283790-45311615
PTCH1	9:98209128-98279104
TIMM44	19:7991623-8011707
RAD9B	12:110939916-110969538
RAD9A	11:67156422-67165069
ERGIC2	12:29489397-29537085
ERGIC3	20:34126777-34145331
ERGIC1	5:172258276-172381063
B3GAT3	11:62387916-62392646
B3GAT2	6:71566513-71669740
B3GAT1	11:134251727-134284811
MIR3169	13:61773809-61774157
MIR3168	13:41675070-41675294
RP11-150D5.2	16:76268977-76269316
CALM2	2:47388885-47406739
CALM3	19:47104457-47112437
TTC30B	2:178415429-178420523
SPG20	13:36874979-36942331
GSDMA	17:38116225-38133347
GSDMB	17:38061034-38074291
GSDMC	8:130760726-130802133
GSDMD	8:144637476-144645138
FBXL13	7:102452257-102696269
UPK1B	3:118889424-118922893
DLGAP2	8:1446568-1649681
DLGAP3	1:35331557-35394653
DLGAP1	18:3499083-4458265
DLGAP4	20:34962382-35155524
DLGAP5	14:55615004-55661395
KB-1507C5.4	8:103998015-104008645
RP11-428C19.4	11:19238352-19241997
RP11-554D14.6	12:108238187-108238360
KB-1507C5.2	8:103875398-103992345
KB-1507C5.3	8:103906776-103907149
OIP5	15:41601863-41622066
FBXL19	16:30932895-30960096
MIR506	X:146312214-146312623
PTPN18	2:131110579-131128850
PTPN13	4:87512468-87735764
PTPN12	7:77163772-77268640
PTPN11	12:112853535-112942640
RP11-1028N23.4	12:116044059-116044373
PTPN14	1:214531207-214727944
LYAR	4:4269552-4291895
RP11-716O23.1	6:11414899-11463459
AC138035.1	5:180760556-180769351
AC138035.2	5:180748759-180752831
SDK2	17:71334650-71643226
TFIP11	22:26887359-26911436
C2orf81	2:74641497-74645854
C2orf80	2:209027863-209054805
C2orf83	2:228473164-228501035
C2orf82	2:233731993-233746024
C2orf88	2:190787994-191064907
RP11-415A20.1	1:77230840-77237139
MSMP	9:35749987-35757273
MZB1	5:138720255-138728602
TRAPPC6B	14:39620877-39641415
RN7SL480P	1:150185879-150186127
HLA-DQB1	6:32627906-32637465
MSMB	10:51546552-51562516
HLA-DQB2	6:32724108-32734310
RP11-51L5.7	17:60346865-60363275
RP11-51L5.5	17:60363276-60374448
CDK7	5:68527698-68573141
FOXS1	20:30430793-30436419
CTC-360P9.4	19:32470894-32471106
CTC-360P9.2	19:32453546-32453893
HAPLN4	19:19368575-19375172
MCHR2	6:100368780-100445113
RN7SL569P	7:148584413-148584440
AL357060.1	6:138036543-138039124
CAMKK2	12:121678212-121739110
CAMKK1	17:3765448-3797036
CHMP3	2:86734500-86790509
RPL36AL	14:50085235-50090348
CHMP7	8:23098149-23118182
CHMP6	17:78962640-78973077
CHMP5	9:33264761-33280954
OR52N4	11:5772922-5776988
OR52N5	11:5798808-5802896
OR52N2	11:5838565-5842610
OR52N1	11:5808999-5813045
LY6G6C	6:31688695-31692621
HOXA13	7:27231817-27242724
HOXA11	7:27222344-27227834
GALNTL5	7:151650463-151716957
GALNTL6	4:172731574-173961336
RP11-338E21.1	12:64990288-64990443
RP11-76N22.2	1:89037109-89113176
KRTAP11-1	21:32252875-32256873
TDG	12:104359486-104380941
HN1	17:73132000-73153774
TBX2	17:59474256-59485915
LRRC27	10:134142612-134188808
LRRC26	9:140061742-140067490
KIAA1524	3:108269920-108308298
RP11-10C24.2	3:33833189-33833698
KIAA1522	1:33220298-33241730
MPDU1	17:7484169-7499106
LRRC20	10:72061088-72136288
CTD-3126B10.4	16:2692153-2696296
LRRC28	15:99788816-99926437
GCNT4	5:74324427-74329723
AC024560.3	3:197346550-197351138
GCNT6	6:10634122-10634955
GCNT1	9:79071067-79118632
GCNT3	15:59900981-59911824
GCNT2	6:10509237-10626911
AC144450.1	2:1590813-1609865
LPCAT4	15:34652929-34662394
LPCAT2	16:55543286-55617081
LPCAT3	12:7082346-7125813
LPCAT1	5:1463695-1527075
TAGLN	11:117068158-117075074
CCDC178	18:30517924-30992122
CCDC179	11:22868967-22882087
ALPP	2:233240347-233250598
RP11-357H14.17	17:46713934-46714048
MIR513B	X:146280500-146280737
MIR513C	X:146271159-146271390
CCDC170	6:151815812-151939323
CCDC171	9:15563983-16063224
CCDC172	10:118084437-118139008
CCDC173	2:170502318-170550973
CCDC174	3:14692260-14714165
CCDC175	14:59971895-60043576
CCDC176	14:74489013-74532135
ITGAE	17:3618096-3707536
PDK1	2:173417778-173460778
CTD-2303H24.2	17:18416597-18447067
RP11-61J19.2	1:212643549-212643710
RP11-61J19.3	1:212716034-212723515
RP11-61J19.4	1:212731491-212732708
PDK4	7:95214895-95228802
LNPEP	5:96271047-96364293
ALPI	2:233317832-233323910
SEC61A1	3:127768211-127779564
SEC61A2	10:12168639-12206572
ALPL	1:21832857-21904223
PECR	2:216903926-216946538
MIR193A	17:29886836-29888056
RP11-282I1.1	10:125117649-125242491
INMT-FAM188B	7:30803691-30803871
DDIT3	12:57910432-57914299
DDIT4	10:74030676-74037498
RIIAD1	1:151691011-151701367
RP11-170M17.1	10:65460116-65649117
GOLGA8T	15:30427195-30437741
OR5R1	11:56184682-56188707
GOLGA8Q	15:30844117-30854699
GOLGA8S	15:23599852-23610252
GOLGA8R	15:30695953-30706465
GOLGA8M	15:28947172-28986356
GOLGA8O	15:32737317-32747899
GOLGA8N	15:32885609-32896173
GOLGA8I	15:23252241-23265511
GOLGA8H	15:30896207-30906734
GOLGA8K	15:32685168-32695549
GOLGA8J	15:30375096-30385668
RP11-124O11.2	10:43476085-43477684
GOLGA8G	15:28767713-28778163
GOLGA8F	15:28623768-28634208
GOLGA8A	15:34673619-34812491
GOLGA8B	15:34815320-34849039
CT45A1	X:134852564-134856934
PTPMT1	11:47583981-47587979
CT45A2	X:134869828-134874195
CT45A5	X:134946008-134950383
CT45A4	X:134928738-134933116
CT45A6	X:134963267-134967629
FTCDNL1	2:200675243-200718895
VMO1	17:4688559-4689726
ATP5C1	10:7832944-7849682
