"SID"	"count"	"gene"	"n"	"pvalue"	"qvalue"
"1:66090-69089"	3000	"OR4F5"	3	0.618343317201384	1
"1:139379-139901"	523	"AL627309.1"	4	NA	NA
"1:364658-367638"	2981	"OR4F29"	0	0.940567321500017	1
"1:622053-625033"	2981	"OR4F16"	0	0.994100285380546	1
"1:741093-741346"	254	"AL669831.1"	0	NA	NA
"1:858120-861116"	2997	"SAMD11"	3	0.657338924353914	1
"1:894670-895965"	1296	"NOC2L"	1	0.361815897992678	1
"1:917473-918554"	144	"C1orf170"	0	NA	NA
"1:935491-938551"	3061	"HES4"	2	0.568694906142989	1
"1:945802-948801"	3000	"ISG15"	6	0.0262621711111856	1
"1:952502-955501"	3000	"AGRN"	0	0.946870796849949	1
"1:1009687-1012686"	3000	"RNF223"	0	0.958772505551071	1
"1:1051478-1054735"	3258	"C1orf159"	5	0.204573256410999	1
"1:1106285-1109281"	2997	"TTLL10"	1	0.771535309901916	1
"1:1142071-1143703"	1633	"TNFRSF18"	2	0.197409024529101	1
"1:1149512-1152511"	2992	"TNFRSF4"	0	0.940715066237498	1
"1:1164628-1167621"	2994	"B3GALT6"	3	0.309491354198465	1
"1:1182110-1185101"	2992	"FAM132A"	8	NA	NA
"1:1209213-1212233"	3021	"UBE2J2"	6	0.533763134321163	1
"1:1212815-1215814"	3000	"SCNN1D"	1	0.778813332818387	1
"1:1243398-1243945"	548	"ACAP3"	0	0.407995418082542	1
"1:1260071-1260145"	75	"GLTPD1"	0	NA	NA
"1:1264277-1266692"	2416	"TAS1R3"	4	0.0915050986968135	1
"1:1284730-1287491"	2762	"DVL1"	0	0.936766385557955	1
"1:1293915-1296914"	3000	"MXRA8"	0	0.950175407391234	1
"1:1310875-1313561"	2687	"AURKAIP1"	3	0.274151573629852	1
"1:1334692-1337285"	2594	"CCNL2"	3	0.254193403955943	1
"1:1342693-1345692"	3000	"MRPL20"	1	0.798791232862524	1
"1:1358507-1359823"	1317	"ANKRD65"	0	0.718234102095793	1
"1:1359824-1361471"	1648	"TMEM88B"	2	0.196485921523649	1
"1:1367902-1371049"	3147	"VWA1"	3	0.565057732840972	1
"1:1382068-1385067"	3000	"ATAD3C"	1	0.777490729095537	1
"1:1405538-1407147"	1610	"ATAD3B"	0	0.78493782662771	1
"1:1444530-1447529"	3000	"ATAD3A"	3	0.307222767814696	1
"1:1475737-1477050"	1305	"TMEM240"	0	NA	NA
"1:1510249-1513248"	3000	"SSU72"	4	0.154626848153116	1
"1:1547794-1550809"	3015	"MIB2"	2	0.529651511780116	1
"1:1564609-1567472"	2410	"MMP23B"	1	0.661432701617366	1
"1:1588935-1589037"	103	"CDK11B"	0	0.0920994114696686	1
"1:1624167-1627166"	3000	"SLC35E2B"	1	0.790560098294986	1
"1:1655763-1656274"	512	"CDK11A"	0	0.410329336973908	1
"1:1677358-1680357"	3000	"SLC35E2"	3	NA	NA
"1:1711508-1713726"	2219	"NADK"	1	0.60639878039319	1
"1:1822495-1825494"	3000	"GNB1"	1	0.769972745768605	1
"1:1843265-1846264"	3000	"CALML6"	1	0.770556941220675	1
"1:1851733-1853711"	1979	"TMEM52"	1	0.552551467033498	1
"1:1947779-1950778"	3000	"GABRD"	7	0.064423722630992	1
"1:2157133-2160132"	3000	"SKI"	0	0.945299739267592	1
"1:2323146-2324830"	1235	"MORN1"	0	0.707140278642877	1
"1:2343979-2347009"	3031	"PEX10"	3	0.380362834655189	1
"1:2404753-2407752"	3000	"PLCH2"	1	0.784984077312973	1
"1:2458070-2460181"	2112	"PANK4"	4	0.0533276085959657	1
"1:2461684-2464683"	3000	"HES5"	7	NA	NA
"1:2484804-2487803"	3000	"TNFRSF14"	4	NA	NA
"1:2515213-2518209"	2997	"FAM213B"	3	NA	NA
"1:2564429-2567428"	3000	"MMEL1"	7	NA	NA
"1:2935045-2938044"	3000	"ACTRT2"	4	0.432824616152146	1
"1:2982741-2985773"	3031	"PRDM16"	3	0.634995501435576	1
"1:3368146-3370988"	2843	"ARHGEF16"	1	0.855957200009405	1
"1:3528059-3531058"	3000	"MEGF6"	0	0.968536668645088	1
"1:3538565-3541564"	3000	"TPRG1L"	7	0.0421075947297804	1
"1:3566637-3569082"	2446	"TP73"	6	0.0179105997109942	1
"1:3668941-3668960"	20	"CCDC27"	0	0.0234430291614538	1
"1:3686351-3689350"	2997	"SMIM1"	3	0.442581880999962	1
"1:3713082-3716067"	2986	"LRRC47"	3	0.455824836951934	1
"1:3773763-3773843"	81	"CEP104"	1	0.00417438886113822	1
